Dépôt GitHub,Identifiant,Segmentation,Transcription,Pages,Imprimeur,Titre bref,Auteur,Date,Lieu,Lien fac-similé numérique,Lieu de conservation
SETAFDH/HTR-SETAF-Pierre-de-Vingle ,CRRPV11,gold,gold (gothique),96,Pierre de Vingle,Moralite de la maladie de Chrestiente,[Matthieu Malingre],1533,[Neuchâtel],https://doi.org/10.3931/e-rara-563,Zurich ZB Res 1331
SETAFDH/HTR-SETAF-Pierre-de-Vingle,CRRPV12,gold,gold (gothique),48,Pierre de Vingle,Sensuyvent plusieurs belles et bonnes chansons,[Matthieu Malingre],1533,[Neuchâtel],https://doi.org/10.3931/e-rara-6934,Genève BGE Bd 1475 Rés
SETAFDH/HTR-SETAF-Pierre-de-Vingle,CRRPV13,gold,gold (gothique),48,Pierre de Vingle,Noelz nouveaulx,[Matthieu Malingre],[1533?],[Neuchâtel],https://doi.org/10.3931/e-rara-577,Zurich ZB Res 1332
SETAFDH/HTR-SETAF-Pierre-de-Vingle,CRRPV16,gold,gold (gothique),16,Pierre de Vingle,Chansons nouvelles,[anonyme],[1534?],[Neuchâtel],https://doi.org/10.3931/e-rara-576,Zurich ZB Res 1327
SETAFDH/HTR-SETAF-Jean-Michel,CRRJM29,gold,gold (gothique),78,Jean Michel,Verite cachee,[anonyme],1544,[Genève],https://doi.org/10.3931/e-rara-12691,Genève MHR D Mal 1
SETAFDH/HTR-SETAF-Jean-Michel,CRRJM34,gold,gold (gothique),96,Jean Michel,Moralite de la maladie de chrestiente,[Matthieu Malingre],[1538/1544],[Genève],https://onb.digital/result/103BE0A8,Vienne NB 48.V.87
SETAFDH/HTR-Varia-Malingre-romain,e-rara 120199,gold,gold (romain),87,s.n.,Chanson spirituelle sur la saincte cene,[anonyme],1545,s.l.,https://doi.org/10.3931/e-rara-120199,Genève BGE Bd 1915
SETAFDH/HTR-Varia-Malingre-romain,e-rara 12703,en cours,en cours (romain),50/141,Jean Girard,Les Pseaumes de David,Clément Marot,1550,Genève,https://doi.org/10.3931/e-rara-12703,Genève MHR O6e(550)
SETAFDH/HTR-Varia-Malingre-romain,onb 109B2E78,en cours,en cours (romain),65/271,[Jean Girard],Chrestienne Resiovyssance,Eustorg de Beaulieu,1546,[Genève],https://onb.digital/result/109B2E78,Vienne NB 80.M.74
SETAFDH/HTR-Varia-Malingre-gothique,Gallica bpt6k87118420, en cours, en cours (gothique sauf 4 pages au début en romain), 58/180,Gryphius,Les Oeuvres de Clement Marot,Clément Marot,1538,Lyon,https://gallica.bnf.fr/ark:/12148/bpt6k87118420,Paris BNF RES-YE-1461
